Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mario Elie,,8.9,5.1,4.8,4.6,4.5,4.4,4.2,3.8,3.8,3.1,1.6
John Lucas,85.9,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.2,1.3,0.4
Nate McMillan,85.5,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6
Vinnie Johnson,85.1,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.2,2.7,2.3,0.2
Devin Harris,84.9,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,1.6
Darren Collison,83.5,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,NA
Monta Ellis,82.8,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,0.5,0.2
Ron Harper,82.6,10.2,6.3,6,5.7,5.6,4.2,3.9,3.5,2.9,2.4,0.9
Kyle Korver,82.6,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,3.7,2.6,1
Wesley Matthews,82.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA
Dick McGuire,81.9,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,4,2.1,1.3
