Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Acie Earl,,0.3,0.2,0,-0.2
David Vaughn,17.6,0.4,0.2,0.1,-0.1
Chris McCullough,14.2,0.3,0.2,0.1,NA
Scooter McCray,12.6,0.3,0.1,0,NA
Josh Huestis,12.0,0.5,0.2,0,NA
Devin Ebanks,11.0,0.4,0.3,-0.1,NA
Anthony Frederick,10.8,0.5,0.2,0,NA
Quincy Lewis,7.6,0.3,0.3,0.1,0
Joe Courtney,6.3,0.4,0.1,0,-0.1
Easy Parham,6.3,0.3,0.1,0,NA
Jordan Mickey,3.9,0.3,0.1,0.1,NA
