,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,30,SAS,NBA,C,7,34,.333,8.0,1.000,.333,.333,.111,.222,.000,.333,1.000,.000,.000,.000,,.333,.111,1,,,,0,0
2006-07,31,SAS,NBA,PF,20,415,.625,3.8,.988,.750,.113,.088,.038,.013,.633,.683,.556,.429,.333,.000,.800,.038,3,,.000,,1,0
2007-08,32,SAS,NBA,PF,17,331,.609,4.6,1.000,.587,.217,.174,.022,.000,.609,.630,.400,.875,.000,,1.000,.000,0,,,,0,0
2008-09,33,SAS,NBA,C,2,22,.667,6.2,1.000,.500,.167,.333,.000,.000,.667,1.000,.000,.500,,,.750,.000,0,,,,0,0
Career,,,NBA,,46,802,.603,4.4,.993,.660,.163,.128,.043,.007,.607,.688,.391,.611,.167,.000,.847,.028,4,,.000,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,46,802,.603,4.4,.993,.660,.163,.128,.043,.007,.607,.688,.391,.611,.167,.000,.847,.028,4,,.000,,1,0
