Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Fabricio Oberto,,6.1,4.1,1.7,1.1,0.6,0
Mark West,83.9,5.5,3.1,1.9,1.1,0.9,-0.1
Melvin Turpin,82.7,6,3.1,2.1,1.8,0.8,NA
Kendrick Perkins,82.6,6.2,5.6,2.3,1.4,0.7,0.1
Dan Gadzuric,82.3,5.2,3.7,2.5,1.2,0.8,0.1
Chris Kaman,81.8,6.1,3.6,2.9,2.1,0.6,0
Kosta Koufos,81.5,6.5,3.5,2.7,1.3,0.2,0
Skip Thoren,79.4,7,4.4,1.6,NA,NA,NA
Dean Garrett,78.5,6.2,2.9,2.2,1.9,1,-0.1
Sam Bowie,77.6,5.7,4.7,2.6,2.4,0.5,0.1
Jusuf Nurkić,77.6,7.8,4.7,2,1.6,0.4,NA
