Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Fabricio Oberto,,6.1,4.1,1.7,1.1,0.6,0,NA,NA
Melvin Turpin,82.7,6,3.1,2.1,1.8,0.8,NA,NA,NA
Skip Thoren,79.4,7,4.4,1.6,NA,NA,NA,NA,NA
Dean Garrett,78.5,6.2,2.9,2.2,1.9,1,-0.1,NA,NA
Jusuf Nurkić,77.6,7.8,4.7,2,1.6,0.4,NA,NA,NA
Lee Davis,76.5,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
Jakob Pöltl,76.0,5.6,5.1,1.6,NA,NA,NA,NA,NA
Bob Houbregs,75.0,6.9,4.5,2.8,0.2,NA,NA,NA,NA
Manny Leaks,74.3,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Larry Sanders,72.2,6,1.6,1,1,0.7,0,NA,NA
Timofey Mozgov,71.0,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4
