,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1988-89,19,DUKE,36,607,115,159,1,1,88,121,,170,44,35,28,58,104,319,.723,1.000,.727,16.9,8.9,4.7,1.2
1989-90,20,DUKE,38,1135,194,380,6,12,225,269,,364,84,59,41,101,120,619,.511,.500,.836,29.9,16.3,9.6,2.2
1990-91,21,DUKE,39,1178,271,471,18,53,211,263,,340,76,75,44,121,111,771,.575,.340,.802,30.2,19.8,8.7,1.9
1991-92,22,DUKE,35,1128,254,442,54,97,189,232,,275,69,74,32,116,90,751,.575,.557,.815,32.2,21.5,7.9,2.0
Career,,,148,4048,834,1452,79,163,713,885,,1149,273,243,145,396,425,2460,.574,.485,.806,27.4,16.6,7.8,1.8
