Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Christian Laettner,,11.6,7.5,6.6,6.2,6.2,5.1,5,4.3,4.1,2.7,2.6,2.3,0.7,NA,NA,NA,NA,NA
Antonio McDyess,88.4,9.4,7.8,6.7,6.2,6,5.7,5.6,4.6,4.2,3.6,3.2,3,1.8,1.2,0.8,NA,NA,NA
Hedo Türkoğlu,88.1,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,1.2,0.8,-0.5,NA,NA,NA
Derrick Coleman,87.9,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2,NA,NA,NA
Luol Deng,87.5,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3,3,0.9,0.8,0,NA,NA,NA
Antonio Davis,87.1,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA,NA,NA,NA
Jermaine O'Neal,87.1,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.7,2.6,2.1,2,1.2,1.1,0.9,0.8,0.8,0.6
Maurice Lucas,86.9,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4,2.4,2.3,NA,NA,NA,NA
Grant Long,86.7,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,NA,NA,NA
Steve Mix,86.1,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,2.4,1.3,0.4,-0.3,NA,NA,NA,NA,NA
Donyell Marshall,86.0,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3,NA,NA,NA
