Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1995-96,26,ATL,NBA,C,10,10,334,10,20.6,0.484,0.2,0.5,0.333,9.8,20.1,0.487,6.4,9.1,0.704,4.6,7.1,11.7,2.5,2,1.7,3.5,6.9,26.5,NA,108,111
1996-97,27,ATL,NBA,PF,10,10,403,8.7,21.6,0.405,0.6,3,0.19,8.2,18.6,0.439,6.8,7.9,0.857,2.7,7.5,10.2,3.7,1.4,1.1,4.4,4.5,24.8,NA,100,108
1997-98,28,ATL,NBA,PF,4,0,87,7.9,23.1,0.343,0,2,0,7.9,21.1,0.375,9.9,11.2,0.882,2,9.2,11.2,2.6,4,0.7,5.3,10.6,25.7,NA,90,97
1998-99,29,DET,NBA,PF,5,0,123,9.9,23.2,0.426,0,0,NA,9.9,23.2,0.426,5.4,6.9,0.786,3,3.9,6.9,5.4,2,0.5,1.5,6.9,25.2,NA,109,105
1999-00,30,DET,NBA,C,3,3,75,5,12.1,0.412,0,0,NA,5,12.1,0.412,4.3,5.7,0.75,1.4,9.3,10.7,4.3,0,0.7,2.1,10,14.2,NA,97,101
2004-05,35,MIA,NBA,PF,13,0,136,4.7,9.4,0.5,0,0.4,0,4.7,9,0.522,2,2.3,0.833,1.2,8.6,9.8,2.7,1.6,0,2.3,6.7,11.3,NA,101,102
Career,NA,,NBA,,45,23,1158,8.4,19.4,0.432,0.2,1.4,0.179,8.1,18,0.451,6,7.6,0.794,2.9,7.4,10.3,3.4,1.8,1,3.5,6.5,23,NA,102,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,ATL,NBA,,24,20,824,9.2,21.4,0.429,0.3,1.9,0.185,8.8,19.5,0.452,7,8.7,0.795,3.4,7.5,10.9,3.1,1.9,1.3,4.1,6.1,25.6,NA,102,108
1 season,NA,MIA,NBA,,13,0,136,4.7,9.4,0.5,0,0.4,0,4.7,9,0.522,2,2.3,0.833,1.2,8.6,9.8,2.7,1.6,0,2.3,6.7,11.3,NA,101,102
2 seasons,NA,DET,NBA,,8,3,198,7.9,18.7,0.422,0,0,NA,7.9,18.7,0.422,5,6.4,0.773,2.3,6.1,8.5,5,1.2,0.6,1.7,8.2,20.7,NA,105,104
