Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Whitey Skoog,,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Al Wood,87.7,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA
Bob Harrison,87.6,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA
Eric Money,86.7,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA
Slick Watts,86.3,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA
Andre Roberson,85.8,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Billy Kenville,85.7,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA
T.J. McConnell,85.6,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA
Devin Brown,85.2,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA
Tim Hardaway,84.6,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Daniel Gibson,84.2,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
