Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Whitey Skoog,,4.1,3.6,2.9,1.9,1,0.7
Thabo Sefolosha,88.5,4.1,4,2.2,1.8,1.5,0.8
Gerald Henderson,88.1,3.6,3.6,3.3,2.4,1,0.4
Marquis Daniels,87.9,4.2,3.2,2.5,1.3,0.9,0.6
Jamaal Tinsley,87.9,4.4,3.7,2.8,2.8,1.7,0.7
Al Wood,87.7,4.4,4.2,2.5,2.3,1,0.9
Darrell Walker,87.3,3.8,3.7,2.8,2.3,2.1,0.8
Darnell Valentine,87.0,5,3.7,3.4,1.7,1.1,1
Jack George,86.7,4.6,3.8,3.4,1.8,1.5,1.2
Eric Money,86.7,4.2,3.6,3.3,2.7,0.6,0.3
Daniel Gibson,86.6,4.1,3.8,2.6,2.4,2,0.5
