Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
T.J. Ford,,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Al Wood,88.7,4.4,4.2,2.5,2.3,1,0.9,NA,NA
Calbert Cheaney,87.4,4.1,3.9,3.2,3.2,1.2,0.8,0.4,-0.1
Eric Money,85.5,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA
Jamaal Tinsley,85.3,4.4,3.7,2.8,2.8,1.7,0.8,0.7,-0.3
Fred Jones,84.9,4.8,4,2.6,2.2,1.6,1.2,0,NA
Ron Brewer,84.8,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA
John Roche,84.3,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
Whitey Skoog,83.7,4.1,3.6,2.9,1.9,1,0.7,NA,NA
Rex Chapman,83.6,4.2,3.9,3,2.5,1.9,0.1,-0.2,-0.7
