Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
T.J. Ford,,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA
Al Wood,88.7,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA
Eric Money,85.5,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA
Fred Jones,84.9,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA
Ron Brewer,84.8,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
John Roche,84.3,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA
Whitey Skoog,83.7,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Adrian Griffin,83.2,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0
Dean Meminger,83.1,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Chico Vaughn,83.1,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA
