Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Danny Young,,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1
Keith Bogans,88.6,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0
Shaun Livingston,87.8,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Greg Buckner,87.1,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1
Tom Henderson,86.5,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA
Scott Brooks,85.3,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1,0.7
Jerryd Bayless,84.8,4,2.7,2.4,2.4,2.4,2,1.6,1.1,0.3,-0.1
C.J. Miles,84.7,3.6,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5
Herm Gilliam,84.3,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
Anthony Morrow,84.3,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA
Carlos Arroyo,83.6,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA
