Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Anthony Miller,,1.2,1.2,0.8,0.6,0,0,0,-0.1
Steve Green,86.3,1.2,1.1,0.7,0.4,NA,NA,NA,NA
Bill Hosket,79.9,1,1,0.6,0.5,NA,NA,NA,NA
Chris Johnson,77.5,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Jarell Martin,76.3,1.3,0.8,0.6,0.5,NA,NA,NA,NA
Bob Portman,76.1,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Thomas Robinson,75.2,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Yi Jianlian,74.2,1.3,0.7,0.7,0.4,0,NA,NA,NA
Julian Wright,73.6,1.7,0.8,0.8,0.6,NA,NA,NA,NA
Fred Saunders,73.5,1.3,1.2,0.5,0.1,NA,NA,NA,NA
Ray Tolbert,72.9,1.1,0.8,0.7,0.3,0,NA,NA,NA
