Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,22,DET,NBA,PF,82,2661,12.3,0.501,0.358,NA,NA,12.5,5,NA,NA,NA,NA,NA,1.8,0.4,2.3,0.041,NA,NA,NA,NA,NA
1972-73,23,DET,NBA,PF,81,3009,15.6,0.545,0.311,NA,NA,12.3,7.7,NA,NA,NA,NA,NA,5.7,2.5,8.3,0.132,NA,NA,NA,NA,NA
1973-74,24,DET,NBA,PF,82,2499,12.2,0.521,0.22,6.9,14.3,10.6,7.5,0.9,0.8,NA,NA,NA,3,3.1,6.1,0.117,NA,0,-0.1,-0.1,1.2
1974-75,25,DET,NBA,PF,82,2787,13,0.521,0.26,6.9,16.1,11.5,6.4,0.9,0.9,NA,NA,NA,3.6,1.6,5.2,0.09,NA,0.1,-1.3,-1.2,0.6
1975-76,26,DET,NBA,PF,80,2998,14.7,0.513,0.311,7.8,16.3,12,8.5,0.7,0.8,NA,NA,NA,4.5,1.7,6.2,0.099,NA,1.1,-1.4,-0.3,1.3
1976-77,27,BOS,NBA,PF,79,2190,12.6,0.542,0.38,8.5,16.7,12.6,6.7,0.5,1.1,NA,NA,NA,2.7,2.5,5.2,0.114,NA,-0.3,0.1,-0.2,1
1977-78,28,BOS,NBA,PF,51,911,9.7,0.5,0.326,8.5,14.1,11.3,6.6,0.7,0.4,19.6,16.5,NA,0.2,0.7,0.9,0.046,NA,-2.1,-1,-3.1,-0.2
1978-79,29,BOS,NBA,PF,53,1222,7.7,0.467,0.217,7.1,14.9,11,7.3,0.6,0.6,18.8,14.9,NA,-0.5,0.6,0,0.001,NA,-2.7,-1.4,-4.1,-0.6
Career,NA,,NBA,,590,18277,12.9,0.519,0.3,7.5,15.6,11.8,7,0.7,0.8,19.2,15.6,NA,20.9,13.2,34.1,0.09,NA,-0.2,-0.8,-1,3.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,407,13954,13.7,0.521,0.294,7.2,15.6,11.8,7.1,0.8,0.8,NA,NA,NA,18.6,9.4,28,0.096,NA,0.4,-1,-0.5,3.1
3 seasons,NA,BOS,NBA,,183,4323,10.6,0.513,0.323,8.1,15.6,11.9,6.9,0.6,0.8,19.2,15.6,NA,2.3,3.8,6.1,0.068,NA,-1.4,-0.5,-1.9,0.1
