Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Curtis Rowe,,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0
Kurt Thomas,90.8,8.2,6.5,5.4,5.2,3.8,2.5,0.5,-0.2
Boris Diaw,88.3,8.9,6.2,4.8,4.7,4.6,3,0.8,0.1
Trooper Washington,87.7,8.3,6.9,6.3,6,3.4,2.2,NA,NA
M.L. Carr,87.4,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8
Jeff Foster,87.4,8.3,5.7,5.4,4.5,4.2,2.7,1.6,0.6
Mike Dunleavy,86.8,8.5,5.2,5.1,4.9,4.2,2.3,1.5,0.5
Bryon Russell,86.8,8.8,7.4,6.8,6,5.6,2.1,1.4,0.8
Don Nelson,86.6,8.3,7.5,6.1,5.4,3.3,2.3,2.1,0.4
Lonnie Shelton,86.1,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.1
Jamal Mashburn,86.0,7.3,6.4,6.3,4.1,3.6,1.8,0.9,0.2
