Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,DET,NBA,PF,82,NA,2499,6.9,13.9,0.494,2.1,3,0.698,3,6.3,9.3,2.5,0.9,0.6,NA,3.2,15.8,NA,NA,96
1974-75,25,DET,NBA,PF,82,NA,2787,7.2,15,0.483,2.9,3.9,0.753,3,7,10,2.1,0.9,0.8,NA,3.3,17.4,NA,NA,101
1975-76,26,DET,NBA,PF,80,NA,2998,7.8,16.7,0.468,3.8,5.2,0.737,3.5,7.1,10.6,2.8,0.7,0.7,NA,3.2,19.5,NA,NA,102
1976-77,27,BOS,NBA,PF,79,NA,2190,6.4,12.9,0.498,3.5,4.9,0.708,3.8,7.6,11.5,2.2,0.5,1,NA,4.4,16.3,NA,NA,99
1977-78,28,BOS,NBA,PF,51,NA,911,6.1,13.6,0.451,3.3,4.4,0.742,3.7,6.4,10.1,2.2,0.7,0.4,3.8,4.7,15.5,NA,94,103
1978-79,29,BOS,NBA,PF,53,NA,1222,5.6,12.8,0.436,1.9,2.8,0.693,2.9,6,8.9,2.5,0.6,0.5,3.2,3.9,13.1,NA,91,108
Career,NA,,NBA,,427,NA,12607,6.9,14.5,0.477,3,4.1,0.726,3.3,6.9,10.2,2.4,0.7,0.7,0.6,3.6,16.8,NA,92,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,244,NA,8284,7.3,15.3,0.48,3,4.1,0.733,3.2,6.8,10,2.5,0.8,0.7,NA,3.2,17.7,NA,NA,100
3 seasons,NA,BOS,NBA,,183,NA,4323,6.1,13,0.471,3,4.2,0.713,3.5,6.9,10.5,2.3,0.6,0.7,1.7,4.3,15.2,NA,92,102
