Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,26,DET,NBA,PF,1,0,8:00,0,2,0,1,2,0.5,0,2,0,0,0,NA,2,1
Career,NA,,NBA,,1,0,8,0,2,0,1,2,0.5,0,2,0,0,0,NA,2,1
