Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Curtis Rowe,,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
Trooper Washington,87.7,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
M.L. Carr,86.0,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Tristan Thompson,85.6,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
Gene Banks,84.8,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Jim Pollard,84.5,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA
Curtis Perry,83.7,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Raef LaFrentz,83.6,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2
Kermit Washington,83.6,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Lonnie Shelton,83.5,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Cincinnatus Powell,82.4,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA
