Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,DET,NBA,PF,82,NA,2661,369,802,0.46,192,287,0.669,NA,NA,699,99,NA,NA,NA,171,930
1972-73,23,DET,NBA,PF,81,NA,3009,547,1053,0.519,210,327,0.642,NA,NA,760,172,NA,NA,NA,191,1304
1973-74,24,DET,NBA,PF,82,NA,2499,380,769,0.494,118,169,0.698,167,348,515,136,49,36,NA,177,878
1974-75,25,DET,NBA,PF,82,NA,2787,422,874,0.483,171,227,0.753,174,411,585,121,50,44,NA,190,1015
1975-76,26,DET,NBA,PF,80,NA,2998,514,1098,0.468,252,342,0.737,231,466,697,183,47,45,NA,209,1280
1976-77,27,BOS,NBA,PF,79,NA,2190,315,632,0.498,170,240,0.708,188,375,563,107,24,47,NA,215,800
1977-78,28,BOS,NBA,PF,51,NA,911,123,273,0.451,66,89,0.742,74,129,203,45,14,8,76,94,312
1978-79,29,BOS,NBA,PF,53,NA,1222,151,346,0.436,52,75,0.693,79,163,242,69,15,13,88,105,354
Career,NA,,NBA,,590,NA,18277,2821,5847,0.482,1231,1756,0.701,913,1892,4264,932,199,193,164,1352,6873
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,407,NA,13954,2232,4596,0.486,943,1352,0.697,572,1225,3256,711,146,125,NA,938,5407
3 seasons,NA,BOS,NBA,,183,NA,4323,589,1251,0.471,288,404,0.713,341,667,1008,221,53,68,164,414,1466
