Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Jamal Crawford,,7.3,5.4,5.3,5,4.5,4.2,4.1,3.6,3.4,3.3,3.3,3.1,2.8,2.3,1.9,1.3,0.6,0.2,-0.9
Derek Fisher,90.1,6.3,5.8,5.7,5.5,5.2,3.9,3.9,3.8,3.7,3.7,3.1,3.1,2.4,1.8,1.7,1.2,1.1,0.4,NA
Devin Harris,86.7,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,2.5,2.5,2.2,1.6,1.5,NA,NA,NA,NA
John Lucas,84.4,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1,0.4,NA,NA,NA,NA,NA
Kyle Korver,83.9,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,3.7,3.4,2.6,2.3,1,NA,NA,NA
Vinnie Johnson,83.8,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA,NA,NA,NA,NA
Nate McMillan,82.3,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,NA,NA,NA,NA,NA,NA,NA
Jameer Nelson,80.7,6.6,6,5.6,5,4.9,4,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5,NA,NA,NA,NA,NA
J.R. Smith,80.2,6.7,5.8,5.5,5,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2,-0.2,NA,NA,NA,NA
Sedale Threatt,78.8,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,NA,NA,NA,NA,NA
Tyrone Corbin,78.5,6.8,6.7,5.6,5.5,5.4,5.4,5,4.4,3,2.5,2.2,2.1,1.2,0.9,0.1,-0.3,NA,NA,NA
