Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dario Šarić,,6.6,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevon Looney,82.6,6,2.8,1.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Don May,80.8,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA,NA,NA,NA
Domantas Sabonis,80.1,7.6,4.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landry Fields,79.3,5.3,3.4,1.1,0.4,0.3,NA,NA,NA,NA,NA,NA,NA
Travis Grant,78.8,5.6,4.1,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Wah Wah Jones,76.3,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willie Murrell,73.7,7,4.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Smith,72.5,4.6,3.3,1.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Brian Cardinal,70.9,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0,0,0,0
Howie Dallmar,70.8,7,5.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
