Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Aaron Gordon,,5.4,5.1,3.7,2.9,1,NA,NA
Julius Keye,89.2,5.3,4.3,3.6,3.6,1.2,-0.2,NA
Randolph Mahaffey,89.2,5.7,4.7,3.7,2.6,NA,NA,NA
Larry Nance,87.2,5.8,4.9,3.5,2.2,NA,NA,NA
Bob Harris,86.7,5,4.3,3.4,1.9,1,NA,NA
Goo Kennedy,86.3,5.7,5,4.5,4,0.8,0.3,NA
Keon Clark,86.2,5.3,4.7,4.2,3.7,0.2,0,NA
George Irvine,85.1,5.5,3.7,3.2,2.5,1.2,0,NA
Scott May,82.9,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Jack Kerris,82.8,5.9,5.7,4.1,2.1,NA,NA,NA
Michael Brooks,82.6,4.9,4.7,4.5,2.4,0,0,NA
