Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Aaron Gordon,,5.4,5.1,3.7,2.9,1
Ben Poquette,93.4,5.4,4.9,3.4,2.5,0.6
Gus Johnson,91.8,5.3,5,3.5,2.2,1.6
Julius Keye,90.2,5.3,4.3,3.6,3.6,1.2
Dick Schnittker,90.0,6.2,5.3,3.5,2.8,1.6
Pat Garrity,89.6,5.1,4.9,2.8,2.5,1.1
Randolph Mahaffey,89.2,5.7,4.7,3.7,2.6,NA
P.J. Tucker,89.2,6.1,4.9,3.5,2.9,0.1
Bob Boozer,89.1,5.3,3.9,3.9,2.8,1.4
Willie Naulls,88.0,5.7,5.3,4.6,2.6,0.4
Paul Griffin,87.9,4.9,4.4,4.1,2.9,1.6
