Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Melvin Turpin,,6,3.1,2.1,1.8,0.8,NA,NA,NA,NA,NA,NA
Dean Garrett,93.4,6.2,2.9,2.2,1.9,1,-0.1,NA,NA,NA,NA,NA
Todd MacCulloch,85.6,5.6,2.5,2.2,1.7,NA,NA,NA,NA,NA,NA,NA
Fabricio Oberto,82.7,6.1,4.1,1.7,1.1,0.6,0,NA,NA,NA,NA,NA
Bryant Reeves,82.4,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA,NA,NA
Kim Hughes,81.7,6.8,2.3,2.2,2.2,0.4,-0.1,NA,NA,NA,NA,NA
Lee Davis,78.7,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA
Dan Gadzuric,77.0,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA
George Peeples,76.3,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA,NA
Zaid Abdul-Aziz,74.4,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3,NA
Jerome Whitehead,73.8,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
