Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Melvin Turpin,,6,3.1,2.1,1.8,0.8
Dean Garrett,94.0,6.2,2.9,2.2,1.9,1
Robin Lopez,92.0,5.6,3.2,2.1,1.5,1.1
Mark Blount,91.4,6.5,2.8,1.9,1.7,0.7
Dewayne Dedmon,86.5,5.2,3.7,2.4,1.7,0.6
Todd MacCulloch,85.6,5.6,2.5,2.2,1.7,NA
Rick Robey,84.3,5.5,3.7,3.1,1.9,0.9
Chris Kaman,84.2,6.1,3.6,2.9,2.1,0
Andrew Lang,83.8,5.7,3.7,3,1.7,1.4
Fabricio Oberto,82.8,6.1,4.1,1.7,1.1,0.6
Dan Gadzuric,82.7,5.2,3.7,2.5,1.2,0.8
