Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,UTA,NBA,SG,9,0,4.3,0.4,1.7,.267,0.1,0.4,.250,0.3,1.2,.273,.300,0.4,0.7,.667,0.0,0.2,0.2,0.3,0.1,0.0,0.2,0.6,1.4
2008-09,23,UTA,NBA,SG,25,1,10.2,1.3,3.2,.407,0.2,0.7,.294,1.1,2.6,.438,.438,0.8,1.0,.808,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7
2009-10,24,"Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)","Did Not Play (other pro league—D-League, Spain)"
2010-11,25,"Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)","Did Not Play (other pro league—Italy, Ukraine)"
2011-12,26,WAS,NBA,SG,4,0,16.8,1.5,4.3,.353,0.3,0.8,.333,1.3,3.5,.357,.382,0.3,0.8,.333,0.3,1.8,2.0,0.5,1.8,0.0,0.3,1.5,3.5
Career,NA,,NBA,,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,NA,UTA,NBA,,34,1,8.6,1.1,2.8,.385,0.2,0.6,.286,0.9,2.2,.413,.417,0.7,0.9,.781,0.3,0.9,1.1,0.3,0.1,0.1,0.5,1.1,3.1
1 season,NA,WAS,NBA,,4,0,16.8,1.5,4.3,.353,0.3,0.8,.333,1.3,3.5,.357,.382,0.3,0.8,.333,0.3,1.8,2.0,0.5,1.8,0.0,0.3,1.5,3.5
