Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Morris Almond,,0.1,0,-0.1
Ira Bowman,-24.5,0.1,0.1,0
Jarell Eddie,-29.8,0.1,0.1,0
Awvee Storey,-49.7,0.2,0.1,0
Dwight Buycks,-51.4,0.2,0.1,0
Gerald Madkins,-57.2,0.3,0.1,0
Jay Arnette,-58.5,0.1,0.1,-0.1
Michael Phelps,-59.8,0.3,0.1,-0.1
Demetrius Jackson,-61.7,0.2,0.1,-0.1
Mike Price,-63.2,0.2,0.2,0.1
Malcolm Lee,-67.7,0.4,0.1,0
