,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,30,CLE,NBA,C,13,354,.454,7.7,1.000,.395,.210,.185,.210,.000,.454,.681,.320,.273,.320,,.593,.042,5,,,,0,0
2006-07,31,CLE,NBA,C,20,649,.492,8.9,1.000,.386,.162,.188,.264,.000,.492,.658,.438,.270,.442,,.608,.046,9,,,,0,0
2007-08,32,CLE,NBA,C,13,393,.479,11.0,1.000,.314,.136,.143,.407,.000,.479,.659,.316,.250,.474,,.761,.021,3,,,,0,0
2008-09,33,CLE,NBA,C,14,407,.449,13.4,.906,.239,.109,.087,.471,.094,.480,.697,.533,.333,.385,.154,.783,.058,8,1.000,.923,.167,0,0
2009-10,34,CLE,NBA,C,7,69,.385,12.7,1.000,.308,.000,.077,.615,.000,.385,.500,,.000,.375,,.800,.000,0,,,,0,0
2010-11,35,MIA,NBA,C,9,104,.467,8.2,1.000,.400,.233,.100,.267,.000,.467,.500,.571,.333,.375,,.571,.033,1,,,,0,0
Career,,,NBA,,76,1976,.469,10.1,.980,.339,.154,.149,.338,.020,.476,.657,.408,.274,.414,.154,.677,.041,26,1.000,.923,.167,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CLE,NBA,,67,1872,.470,10.2,.979,.336,.150,.152,.341,.021,.476,.667,.396,.272,.415,.154,.682,.041,25,1.000,.923,.167,0,0
1 season,,MIA,NBA,,9,104,.467,8.2,1.000,.400,.233,.100,.267,.000,.467,.500,.571,.333,.375,,.571,.033,1,,,,0,0
