Season,Team,Lg,Salary
1996-97,Cleveland Cavaliers,NBA,"$720,000"
1997-98,Cleveland Cavaliers,NBA,"$828,000"
1999-00,Cleveland Cavaliers,NBA,"$9,000,000"
2000-01,Cleveland Cavaliers,NBA,"$10,130,000"
2001-02,Cleveland Cavaliers,NBA,"$11,250,000"
2002-03,Cleveland Cavaliers,NBA,"$12,375,000"
2003-04,Cleveland Cavaliers,NBA,"$13,500,000"
2004-05,Cleveland Cavaliers,NBA,"$14,625,000"
2005-06,Cleveland Cavaliers,NBA,"$8,740,000"
2006-07,Cleveland Cavaliers,NBA,"$9,442,697"
2007-08,Cleveland Cavaliers,NBA,"$10,142,156"
2008-09,Cleveland Cavaliers,NBA,"$10,841,615"
2009-10,Washington Wizards,NBA,"$11,541,074"
2010-11,Miami Heat,NBA,"$1,352,181"
Career,(may be incomplete),,"$124,487,723"
