Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Miles Plumlee,,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA,NA
Carlos Rogers,86.7,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
George Peeples,80.5,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA
Ekpe Udoh,79.7,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA,NA
Steven Hunter,78.7,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA,NA
Chris Mihm,78.3,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA
Marc Jackson,78.2,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA
Manute Bol,77.2,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Cherokee Parks,76.7,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Victor Alexander,76.5,3,2.5,2.3,1.1,-0.1,NA,NA,NA,NA,NA
Bob Hopkins,76.4,3.5,2.7,1.9,1.4,NA,NA,NA,NA,NA,NA
