Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Miles Plumlee,,4,2.6,2.2,0.9,0.5,0.5,0
Carlos Rogers,90.0,4,2.2,2,0.9,0.9,0.5,0
Cherokee Parks,82.1,3.8,2.2,1.9,1.4,0.9,0.2,0
Chris Dudley,81.3,3.4,2.2,2.2,1,0.2,0.1,0
Mikki Moore,81.3,2.8,2.6,2.2,1,0.6,0.1,0.1
George Peeples,80.5,4.1,3.2,2.1,1.5,0.2,0,NA
Manute Bol,80.3,3.9,2.4,2,1.7,1.3,0.8,0
Ekpe Udoh,79.7,3.2,2.7,2.1,1.6,0.7,0.3,0
Steven Hunter,79.0,2.8,2.6,2.5,1,0.9,0.6,0.1
Chris Mihm,78.8,4,3.6,2.9,1.3,0.9,0.7,0
Joel Przybilla,78.8,4.7,2.3,1.9,0.6,0.3,0.1,0.1
