Season,Team,Lg,Salary
1988-89,Charlotte Hornets,NBA,"$675,000"
1990-91,Charlotte Hornets,NBA,"$675,000"
1991-92,Charlotte Hornets,NBA,"$940,000"
1992-93,Washington Bullets,NBA,"$2,004,000"
1993-94,Washington Bullets,NBA,"$2,004,000"
1994-95,Washington Bullets,NBA,"$2,004,500"
1995-96,Miami Heat,NBA,"$2,004,000"
1996-97,Phoenix Suns,NBA,"$247,500"
1997-98,Phoenix Suns,NBA,"$326,700"
1998-99,Phoenix Suns,NBA,"$2,800,000"
1999-00,Phoenix Suns,NBA,"$3,150,000"
2000-01,Phoenix Suns,NBA,"$3,500,000"
2001-02,Phoenix Suns,NBA,"$3,850,000"
Career,(may be incomplete),,"$24,180,700"
