Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Rich Rinaldi,,0.4,0,-0.2
Darrun Hilliard,55.3,0.5,0,-0.2
Michael Wilson,52.4,0.4,-0.1,-0.1
Ron Baker,49.3,0.5,-0.1,-0.1
Joe Young,46.5,0.5,-0.1,-0.1
Paul McCracken,36.0,0.5,0,0
Billy Thomas,34.2,0.4,0.2,-0.1
Corey Beck,31.7,0.4,0.2,-0.1
Elijah Millsap,26.4,0.4,0.1,-0.1
Tyler Ulis,22.7,0.7,0,-0.2
Clay Johnson,20.9,0.6,0.1,0
