Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tyus Jones,,3.6,3,1.5,0.3,NA,NA,NA
Roger Phegley,88.3,3.7,2.6,1.6,0.8,0,-0.1,NA
Terry Furlow,86.0,3.3,2.8,1.1,0,NA,NA,NA
Jerian Grant,85.1,3.3,2.5,1.7,0.8,NA,NA,NA
George Karl,84.8,3.4,3.3,1.3,0,-0.2,NA,NA
Ron Sobie,84.2,3.6,2.6,0.9,0.1,NA,NA,NA
Jim Les,83.0,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Eddie Robinson,82.2,4,3,2.2,0.8,0.2,NA,NA
Mervin Jackson,82.0,3.1,3.1,1.8,-0.2,-0.2,NA,NA
Mike Butler,81.9,3.1,2.3,1.6,0.1,NA,NA,NA
Curly Armstrong,81.6,3.5,3.1,0.6,NA,NA,NA,NA
