Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tyus Jones,,3.6,3,1.5,0.3
Bill Gabor,95.6,3.5,2.8,1.5,0.5
Paul Seymour,91.7,3.8,3.2,1.8,0.4
Darrell Griffith,90.6,3.5,2.8,2.1,0.4
Roger Phegley,90.6,3.7,2.6,1.6,0
Jeremy Lamb,90.4,3.3,2.7,1.6,0.2
Tony Snell,89.4,3.4,2.4,1.6,0.4
Chauncey Billups,88.4,3.7,3,2.3,0.1
C.J. Watson,88.0,3.3,3.1,2.1,0.4
Geoff Huston,87.9,3.4,3,1.7,-0.3
Eddie Robinson,87.1,4,3,2.2,0.2
