Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Don Boven,,3.8,2.2,1.5,NA,NA,NA
Mike Sweetney,93.4,3.8,2.1,1.4,0.4,NA,NA
Willie Long,92.4,3.5,2.1,1.2,NA,NA,NA
Zeke Zawoluk,90.5,3.9,2.5,1.7,NA,NA,NA
Kelly Oubre,87.5,3.7,2.2,2,0.4,NA,NA
Willie Reed,84.8,3.6,1.5,1.2,NA,NA,NA
Greg Kelser,84.3,3.9,2.5,1.4,0.8,0.1,0
Trey Lyles,84.3,3.9,2.3,1.2,0.8,NA,NA
Boštjan Nachbar,82.8,4.1,2.2,1.7,0.8,0.1,-0.1
Walter Berry,82.4,3.4,2.4,2.3,NA,NA,NA
Tony Jaros,82.1,4.4,2.2,1.3,0.6,NA,NA
