,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,24,WAT,NBA,,10,,9,13,,,,26
1951-52,26,MLH,NBA,,7,,14,17,,,6,28
1952-53,27,TOT,NBA,,8,,9,10,,,,20
1952-53,27,MLH,NBA,,8,,7,10,,,6,20
1952-53,27,BLB,NBA,,5,,9,10,,,,19
1952-53,27,FTW,NBA,,6,,8,10,,,6,18
Career,,,,,10,,14,17,,,,28
2 Seasons,,MLH,NBA,,8,,14,17,,,6,28
1 Season,,WAT,NBA,,10,,9,13,,,,26
1 Season,,BLB,NBA,,5,,9,10,,,,19
1 Season,,FTW,NBA,,6,,8,10,,,6,18
