Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Don Boven,,3.8,2.2,1.5
Mike Sweetney,98.0,3.8,2.1,1.4
Jae Crowder,95.5,3.9,2.3,1.5
Gus Johnson,94.8,3.5,2.2,1.6
Andrea Bargnani,94.3,3.9,1.9,1.4
Darren Daye,94.1,3.8,2.4,1.3
Bobby Portis,92.6,3.5,2.4,1.5
Glen Davis,92.4,3.7,2.5,1.6
Willie Long,92.4,3.5,2.1,1.2
Josh Boone,92.0,3.7,1.8,1.7
Richaun Holmes,90.9,3.8,2.8,1.5
