Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Andre Barrett,,0.4,0,0,-0.1
Stephen Graham,85.1,0.4,0,0,-0.1
Jaren Jackson,85.0,0.4,0.1,0,-0.1
Sean Higgins,73.4,0.4,0,0,-0.1
Troy Hudson,66.8,0.5,0.1,0,-0.2
Cliff Anderson,41.0,0.4,0.1,0,-0.2
Paul McCracken,40.8,0.5,0,0,NA
Derrick Dial,39.0,0.4,0.1,0.1,0.1
Clay Johnson,38.5,0.6,0.1,0,NA
Malcolm Lee,36.2,0.4,0.1,0,NA
Bob Duffy,35.6,0.3,0.1,0.1,NA
