Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Jeff Hornacek,,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5,1.2
Eddie Jones,92.8,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5,3.1,1.1
Jason Kidd,92.5,11.3,10.1,9.6,9.3,8.9,8.5,8.1,8,7.2,7.2,5.9,4.4,4.3,3.7
Ray Allen,90.9,13.7,11.1,10.7,10.1,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.2,4.9
Hal Greer,90.6,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5
Maurice Cheeks,89.6,10.6,9.4,9,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1
Manu Ginóbili,89.2,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2,3.8,3.7
Allen Iverson,89.1,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7
George Gervin,89.0,12,11.4,10.7,10.6,10.5,10.5,10,9.4,9.3,7.3,5.5,4.6,3,1.6
Vince Carter,88.8,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,5,4.2,3.8,2.9
Tony Parker,86.7,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7,5.9,4.1,3.8,3.6
