Season,Team,Lg,Salary
1993-94,Los Angeles Lakers,NBA,"$1,445,000"
1994-95,New York Knicks,NBA,"$1,244,000"
1995-96,New York Knicks,NBA,"$1,466,000"
1996-97,Toronto Raptors,NBA,"$1,355,000"
1997-98,Toronto Raptors,NBA,"$2,012,767"
1998-99,Toronto Raptors,NBA,"$2,353,000"
1999-00,Toronto Raptors,NBA,"$2,742,600"
2000-01,Sacramento Kings,NBA,"$3,140,000"
2001-02,Sacramento Kings,NBA,"$5,200,000"
2002-03,Sacramento Kings,NBA,"$6,250,000"
2003-04,Sacramento Kings,NBA,"$6,900,000"
2004-05,Sacramento Kings,NBA,"$7,550,000"
2005-06,Orlando Magic,NBA,"$8,200,000"
2005-06,Dallas Mavericks,NBA,"$1,575,000"
2006-07,Los Angeles Clippers,NBA,"$158,071"
Career,(may be incomplete),,"$51,591,438"
