Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Landry Fields,,5.3,3.4,1.1,0.4,0.3,NA,NA
Sam Smith,85.7,4.6,3.3,1.4,0.2,NA,NA,NA
Travis Grant,85.0,5.6,4.1,1.5,0.5,NA,NA,NA
Don May,83.3,6.1,2.9,1.3,0.5,0.3,0.2,0
Larry Stewart,82.9,4.7,2.9,1.6,0.5,0.1,NA,NA
Leon Powe,80.1,4.9,4.3,1.7,0.6,0.5,NA,NA
Dario Šarić,79.3,6.6,3.5,1,NA,NA,NA,NA
Kevon Looney,79.0,6,2.8,1.4,0.1,NA,NA,NA
Jaylen Brown,78.4,4.5,3,1.5,NA,NA,NA,NA
Ed Ratleff,73.9,5.6,4.5,2.1,1,0.5,NA,NA
Tony Jaros,72.4,4.4,2.2,1.3,0.6,NA,NA,NA
