Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Landry Fields,,5.3,3.4,1.1,0.4,0.3
Sam Smith,85.7,4.6,3.3,1.4,0.2,NA
Travis Grant,85.0,5.6,4.1,1.5,0.5,NA
Cornell Warner,84.1,4.7,3.5,1.7,0.6,0.6
DeMarre Carroll,83.3,5.8,3.1,0.5,0.5,0.1
Larry Stewart,82.9,4.7,2.9,1.6,0.5,0.1
Don May,82.5,6.1,2.9,1.3,0.2,0
Kermit Washington,82.2,5.3,4.3,0.9,0.9,0.8
Austin Croshere,81.1,5.4,3.2,2.6,0.3,0
Leon Powe,80.1,4.9,4.3,1.7,0.6,0.5
Frank Brickowski,79.9,4.1,3.6,1.1,1,0.4
