Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Pétur Guðmundsson,,1.4,0.6,0.3,-0.1
Granville Waiters,91.4,1.3,0.5,0.2,-0.2
Robert Sacre,82.8,1.4,0.8,0.3,-0.1
Eric Fernsten,78.4,1.2,0.5,0.5,0
Jason Collier,76.5,1.2,0.4,0.3,0
Connie Dierking,76.1,1.4,0.7,0.5,0.1
Earl Williams,75.2,1.3,1,0.4,0
Bernard James,74.5,1.2,0.5,0.1,NA
Lee Davis,74.2,1.5,0.6,0.2,0.2
Cole Aldrich,70.8,1.2,0.6,0.6,0.2
Josh Harrellson,70.0,1.4,0.7,0,NA
