Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Pétur Guðmundsson,,1.4,0.6,0.3,-0.1,NA
Robert Sacre,82.8,1.4,0.8,0.3,-0.1,NA
Granville Waiters,82.7,1.3,0.5,0.2,0,-0.2
Jason Collier,76.0,1.2,0.4,0.3,0,0
Earl Williams,75.2,1.3,1,0.4,0,NA
Bernard James,74.5,1.2,0.5,0.1,NA,NA
Josh Harrellson,70.0,1.4,0.7,0,NA,NA
Daniel Santiago,69.6,1.2,0.6,0,0,NA
Keith Closs,69.4,1.1,0.6,0.2,NA,NA
Chris Anstey,67.6,1.9,0.6,0.3,NA,NA
Bob Elliott,66.7,1.6,0.8,0.7,NA,NA
