Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tyrone Nesby,,3.1,2.9,1.3,0.3
Al-Farouq Aminu,92.7,3.1,3.1,1.4,0.7
Toby Kimball,90.4,3.2,2.5,1.2,0.4
Ron Anderson,90.1,3.1,2.5,1.5,0.3
Michael Curry,90.0,3.2,2.9,1.6,-0.2
Andrew DeClercq,88.9,3.4,3.1,1.6,0.4
Malik Rose,88.2,3.4,2.6,1.1,0.4
Chuck Cooper,87.7,3.3,3.1,1.7,0
Renaldo Balkman,87.3,2.8,2.6,1.3,0
Joel Kramer,87.3,3,2.9,1.4,1
Fred Roberts,87.1,3,2.6,1.8,0.2
