Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tyrone Nesby,,3.1,2.9,1.3,0.3,NA,NA,NA
Cal Christensen,92.2,3.2,2.9,1.7,0.4,0,NA,NA
Renaldo Balkman,88.0,2.8,2.6,1.3,0.3,0.1,0,NA
Tom Tolbert,86.4,2.7,2.5,1.3,0.1,0,0,0
Mike Jackson,82.5,3.4,3.1,2.4,0.2,NA,NA,NA
Ime Udoka,81.4,3.9,2.8,1.3,0.8,0,0,0
Bruce Seals,80.1,2.9,2.4,1.6,0.6,0.3,NA,NA
Willie Long,79.9,3.5,2.1,1.2,NA,NA,NA,NA
Joel Kramer,79.7,3,2.9,1.4,1,0.8,NA,NA
Mike Farmer,78.7,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Kenny Williams,77.7,2.7,2.4,1.6,0.7,NA,NA,NA
