,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1953-54,24,MNL,NBA,,8,,6,10,,,5,18
1954-55,25,MNL,NBA,,10,,9,12,,,6,26
1955-56,26,MNL,NBA,,11,20,9,16,,,6,31
1956-57,27,MNL,NBA,,14,,8,11,,,6,33
1957-58,28,CIN,NBA,,6,,6,9,,,5,18
1958-59,29,STL,NBA,,9,15,8,10,,,6,21
1959-60,30,STL,NBA,,12,25,11,15,,,5,30
1960-61,31,STL,NBA,,10,20,8,11,11,,5,28
1962-63,33,BOS,NBA,,3,8,2,2,2,,4,7
1963-64,34,BOS,NBA,,4,16,4,4,4,1,5,8
Career,,,,,14,,11,16,,,6,33
4 Seasons,,MNL,NBA,,14,,9,16,,,6,33
3 Seasons,,STL,NBA,,12,25,11,15,,,6,30
2 Seasons,,BOS,NBA,,4,16,4,4,4,,5,8
1 Season,,CIN,NBA,,6,,6,9,,,5,18
