Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Clyde Lovellette,,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3
Brad Miller,90.4,10,9.6,9.1,8.6,8.3,6.5,5.1,3.8,3.4,2.7,2.1
Al Horford,89.8,10.9,10.1,9.4,8.8,8.7,7.8,6.8,6.3,5.5,2.8,1.3
Dave Robisch,89.5,10.1,9.1,8.6,8.5,7.8,5.2,5,4.2,2.3,2.3,0.7
Marc Gasol,87.3,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7
Zydrunas Ilgauskas,86.9,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.5,0.7,0.5
Tyson Chandler,86.6,10,9.5,9.4,8.3,7.9,5.4,3.9,3.4,2.9,1.9,1.8
Billy Paultz,86.0,9,8.9,8.7,8.6,7,5.6,5.3,5.1,5,4,2.7
Nate Thurmond,85.3,9.9,9,7.2,7.2,6.5,6.1,6,5.2,4.3,3.7,3.5
Alonzo Mourning,84.9,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,0.9,0.6
Bill Cartwright,84.1,10.1,10,9.8,9.7,6.4,5.8,5,4.5,4.2,2.1,0
