Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Walt Kirk,,5,2.3,0.4,NA,NA
Mike Barrett,87.5,4.9,2.7,-0.1,NA,NA
D'Angelo Russell,83.9,5,1.3,0.4,0,NA
Earl Tatum,83.9,4.4,2.6,0.7,0,NA
Mel Riebe,82.3,4.2,2.2,0,NA,NA
Seth Curry,81.6,4.6,2.4,1.4,0,0
Keith Jennings,79.2,4.2,2.9,0.6,NA,NA
Smush Parker,77.9,5.8,2.3,0.1,-0.1,-0.6
Pat Connaughton,76.4,3.9,2.5,0.6,-0.2,NA
Ron Perry,75.6,4.4,1.4,0.3,NA,NA
Michael Dickerson,75.2,5.5,2.2,1.8,0.1,-0.1
