Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jim Thomas,,3.5,1.6,0,-0.1
Alfred McGuire,90.2,3.4,1.9,0.1,NA
Mike Dunleavy,85.1,3.4,1.4,0.2,0.1
Bob Weiss,83.6,2.9,1.7,0.1,0
Bryn Forbes,82.0,3.8,2.1,0.1,NA
Moochie Norris,80.9,4.4,1.7,-0.1,-0.2
Jim Les,80.3,3.6,1.3,0.3,0.1
Anthony Goldwire,79.8,3,1.7,0.3,0.1
Kent Bazemore,79.7,4.1,1.6,0.2,0.1
Paul Thompson,79.3,3.7,1.1,0.1,NA
Chris Whitney,78.8,3.2,1.3,-0.2,-0.3
