Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jim Thomas,,3.5,1.6,0,-0.1,NA,NA
Alfred McGuire,90.2,3.4,1.9,0.1,NA,NA,NA
Bryn Forbes,82.0,3.8,2.1,0.1,NA,NA,NA
Dan Dickau,80.2,3.5,1.5,0.4,0.4,0,0
Paul Thompson,79.3,3.7,1.1,0.1,NA,NA,NA
Jiří Welsch,77.2,3.6,1.7,0.8,-0.4,NA,NA
Bobby Rascoe,77.0,4.2,1.9,-0.2,NA,NA,NA
Mel Riebe,74.1,4.2,2.2,0,NA,NA,NA
Kenny Rollins,73.7,2.6,1.5,0.1,NA,NA,NA
Ralph Johnson,71.2,2.9,1.6,0.8,0,NA,NA
Stan Stutz,71.2,3.9,1.7,1.1,NA,NA,NA
