Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
E'Twaun Moore,,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2
Frank Johnson,89.7,4.3,3,2.1,1.9,1.6,0.6,0.5,0.5
Winston Garland,85.9,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA
Bob Hansen,84.2,4.4,2.8,2.6,2.5,1.7,0.7,-0.1,-0.1
Jordan Farmar,84.0,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6
Trenton Hassell,83.4,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1
Tim Hardaway,83.3,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA
Brandon Knight,83.3,4.5,2.8,1.7,1.3,1.1,0.3,0,NA
Jon Barry,83.2,4.2,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Quintin Dailey,83.1,3.7,2.6,2.1,2,1.3,1,0.1,-0.3
Elfrid Payton,82.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA
