Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
E'Twaun Moore,,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA
Winston Garland,85.9,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA
Bob Hansen,84.1,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA
Tim Hardaway,83.3,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
Brandon Knight,83.3,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA
Trenton Hassell,83.0,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA
Elfrid Payton,82.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA
Quintin Dailey,82.7,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3
Jordan Farmar,82.1,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0
Fred Carter,80.0,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA,NA
Frank Johnson,79.4,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
