Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Patrick Patterson,,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1
Bingo Smith,96.7,6.1,4.2,4.2,3.7,3.3,2.5,2.4,1.6,1.1
Al-Farouq Aminu,90.7,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7
Tim Thomas,90.6,5.5,4.1,3.8,3.4,2.9,2.2,2.2,2.2,0.9
Malik Rose,90.0,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.4
Trevor Ariza,89.7,6.1,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Phil Hubbard,89.1,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.2
Cliff Robinson,88.8,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1
John Johnson,88.6,6.2,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1
Ollie Johnson,88.2,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3
Clyde Lee,88.1,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.1
