Season,Team,Lg,Salary
1993-94,Utah Jazz,NBA,"$150,000"
1994-95,Utah Jazz,NBA,"$265,000"
1995-96,Utah Jazz,NBA,"$300,000"
1996-97,Utah Jazz,NBA,"$385,000"
1997-98,Utah Jazz,NBA,"$2,857,144"
1998-99,Utah Jazz,NBA,"$3,428,000"
1999-00,Utah Jazz,NBA,"$4,000,000"
2000-01,Utah Jazz,NBA,"$4,570,000"
2001-02,Utah Jazz,NBA,"$5,142,857"
2002-03,Washington Wizards,NBA,"$1,400,000"
2003-04,Los Angeles Lakers,NBA,"$1,070,000"
2004-05,Denver Nuggets,NBA,"$1,100,000"
2005-06,Denver Nuggets,NBA,"$1,138,500"
Career,(may be incomplete),,"$25,806,501"
