Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jamie Feick,,4.8,2.2,0.9,0.2,0.2
Joel Przybilla,88.7,4.7,1.9,0.6,0.1,0.1
Mike Sojourner,88.4,4.7,2.7,0.9,NA,NA
Ed Johnson,88.2,5.1,2.4,1,NA,NA
Greg Oden,88.0,4.6,2.2,0.5,NA,NA
Craig Raymond,87.3,4.7,1.7,1,0,0
Jerome Whitehead,84.1,5.3,2.1,0.2,0.2,0.1
Tom Hoover,81.8,4.4,2.6,0.4,0.1,0
Phil Jordon,80.1,5.2,1.9,1.5,0.6,0
Lee Knorek,79.7,5.1,2.5,1.7,0,NA
Rich Niemann,79.7,4.4,1.4,1.2,0.2,NA
