Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Tyler Ulis,,0.7,0,-0.2
Tim Legler,64.7,0.8,0,-0.1
Carl Thomas,64.4,0.7,0,0
John Lucas III,62.0,0.6,0,-0.1
Rick Brunson,60.4,0.6,-0.1,-0.2
Jermaine Jackson,58.0,0.6,0.2,-0.2
Phil Pressey,54.0,0.8,0.1,-0.1
Darrun Hilliard,52.4,0.5,0,-0.2
Kevin Ollie,51.5,0.9,0,-0.1
Sergey Karasev,48.3,0.7,0.3,-0.1
Tom Ingelsby,46.7,0.7,0.1,0
