Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Tyler Ulis,,0.7,0,-0.2
Carl Thomas,64.4,0.7,0,0
Phil Pressey,54.0,0.8,0.1,-0.1
Darrun Hilliard,52.4,0.5,0,-0.2
Sergey Karasev,48.3,0.7,0.3,-0.1
Tom Ingelsby,46.7,0.7,0.1,0
Othyus Jeffers,40.1,0.7,0.1,0.1
Charles Smith,35.8,1.1,0,-0.2
Paul McCracken,34.3,0.5,0,0
Greg Sutton,33.6,0.8,0.2,-0.1
Raymond Townsend,32.6,0.8,0.4,-0.2
