Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Brian Winters,,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA,NA
K.C. Jones,88.8,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA,NA
Jimmy Walker,88.0,6.2,6.2,6.1,5.5,5.2,5.1,4.8,3.6,0.4,NA,NA,NA,NA
Danny Green,86.6,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1,NA,NA,NA
Jim Barnett,86.0,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA,NA
Aaron McKie,86.0,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,2,1.6,1.4,0.1,0.1
Al Attles,85.9,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,NA,NA
Austin Carr,85.5,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA,NA
Kevin Porter,85.4,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA,NA
John Paxson,85.0,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,NA,NA
Luke Ridnour,84.9,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1,NA
