Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Brian Winters,,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1
Jameer Nelson,95.2,6.6,6,5.6,5,4.9,4,3.5,2.5,2.1
Dick McGuire,94.2,6.6,6.3,5.3,5.3,4.7,4.5,4,2.1,1.3
Kyle Korver,91.8,6.6,5.3,5.1,4.6,4.6,4.2,3.7,2.6,1
Nate McMillan,90.9,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,2.8
K.C. Jones,88.8,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8
Tyrone Corbin,88.4,6.8,6.7,5.6,5.4,5.4,4.4,3,1.2,0.1
Jimmy Walker,88.0,6.2,6.2,6.1,5.5,5.2,5.1,4.8,3.6,0.4
Michael Cooper,87.8,6.5,6.1,5.8,5.2,5,5,4.6,4,0
Al Attles,87.7,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7
Slater Martin,87.5,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,1.4
