Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jon Leuer,,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1
Brian Skinner,90.2,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
Etan Thomas,90.0,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
Ed Nealy,89.2,4.7,2,1.9,1.5,1.3,1.2,0.4,0.3
Tim Perry,86.7,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1
Tim Bassett,85.7,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA
James Bailey,83.1,4.9,2.9,2.3,2,1.9,1,0.6,0.3
Rasual Butler,82.0,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1
Gus Gerard,81.9,4.3,1.9,1.5,1.3,1.3,0.5,0.3,NA
Travis Outlaw,81.9,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0
Larry Krystkowiak,81.1,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1
