Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jon Leuer,,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA
Etan Thomas,89.6,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA
Tim Perry,86.7,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA
Tim Bassett,85.7,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA,NA
Gus Gerard,81.9,4.3,1.9,1.5,1.3,1.3,0.5,0.3,NA,NA,NA
James Bailey,81.4,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA
Larry Krystkowiak,80.8,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA
Ron Behagen,80.6,4.3,2.4,2.2,2,1.8,0.2,0.1,NA,NA,NA
Nemanja Bjelica,80.4,4.5,2.8,1.9,1.5,NA,NA,NA,NA,NA,NA
Ed Nealy,80.1,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3
Darrell Arthur,79.9,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA
